dependency,version,layer,purpose,license,license_ok,maintenance,approx_size,security_implications,replacement_strategy,adr,added
subtle,2.6.1,keys,"Constant-time equality for secrets, so key comparison does not leak via timing",MIT,yes,RustCrypto project; stable,negligible,Prevents the derived PartialEq short-circuit from revealing how many leading bytes of a guessed key were correct.,No good alternative; hand-rolled constant-time code is routinely optimised away by the compiler,-,2026-08-12
getrandom,0.4.3,keys,"OS CSPRNG for master keys, recovery keys, salts, and nonces",MIT OR Apache-2.0,yes,Actively maintained; the ecosystem's standard entropy source,negligible,"Reads directly from the OS entropy source (BCryptGenRandom on Windows, getentropy on macOS). Chosen over rand_core to avoid the RNG trait churn across rand 0.6/0.9/0.10 and to keep the entropy path short and auditable.",rand_core with the os_rng feature,-,2026-08-12
serde_json,1.x,"shell, storage",JSON for Tauri IPC payloads and for the plaintext case header (header.json),MIT OR Apache-2.0,yes,Actively maintained; de-facto standard,<1MB,"Parses the case header, which is attacker-writable if someone has filesystem access. Malformed input is handled as a named MalformedHeader error rather than a panic, and the wrapped keys inside are AEAD-authenticated so a tampered header fails to unwrap rather than yielding a wrong key. Missing from this registry until 2026-08-12 despite being in use since increment 1.",Any serde-compatible format; the header format version field exists so a format change is a migration rather than a break,ADR-0016,2026-08-12
blake3,1.x,storage,"Hash for the audit chain and, later, content-addressed blobs",CC0-1.0 OR Apache-2.0,yes,Actively maintained by the authors of the BLAKE3 spec,~300KB compiled,"Fast and tree-structured, which matters for hashing large evidence blobs later. Not a password hash and never used as one - that is Argon2id's job in kokin-keys. No untrusted input parsing.","SHA-256 via sha2; would change every stored hash, so it is a format migration not a swap",ADR-0014,2026-08-12
ciborium,0.2.x,storage,Deterministic CBOR encoding of audit payloads before hashing,Apache-2.0,yes,Maintained under the enarx project; stable and low-churn,<200KB compiled,"Encodes our own structured data for hashing; does not decode untrusted input on this path. Chosen over JSON because JSON guarantees nothing about key order or number formatting, so two equivalent encodings would hash differently and break the chain for no real reason.",Any canonical CBOR implementation; the hash input format would need a version bump,ADR-0014,2026-08-12
url,2.5.8,net,"WHATWG-compliant URL parsing for canonical_locator, raw_locator, and fixture replay keys",MIT OR Apache-2.0,yes,Maintained by the servo project; the de-facto standard and very widely depended on,~500KB compiled,"Parses attacker-influenced URLs, which is exactly why it is a dependency rather than hand-rolled: URL parsing is a well-known source of allowlist-bypass bugs (userinfo tricks, mixed encodings, IDN homographs) and a hand-written parser would be a security defect generator. Also supplies form_urlencoded for canonical query serialisation.",No serious alternative in Rust; a hand-rolled parser is the option this dependency exists to avoid,ADR-0010,2026-08-12
lol_html,3.0.1,extract,Streaming HTML tokeniser with CSS-selector handlers; turns artifacts into observations without building a DOM,BSD-3-Clause,yes,"Actively maintained by Cloudflare; it is the HTML rewriting back-end for Cloudflare Workers, so it is exercised at very large scale","~1MB compiled, plus selectors and encoding_rs","Parses fully untrusted collected HTML, which makes it the highest-exposure parser in the tree. Chosen over a DOM parser precisely for that: memory is bounded by the largest single token rather than by the document, so a 500MB page is read rather than refused. Its max_allowed_memory_usage defaults to usize::MAX and is overridden to a 4MiB ceiling, because the default would let one unterminated tag buffer an entire document. It is a rewriter, so it returns source text rather than decoded values - see html-escape.",html5ever/scraper builds a DOM and would lose the streaming property; the extractor is behind kokin-extract so callers never see lol_html types,ADR-0006,2026-08-12
html-escape,0.2.15,extract,"Decodes HTML entities in attribute values and text, so observations store what a page meant rather than how it spelled it",MIT,yes,"Small, stable, low-churn crate",<200KB compiled,"Runs on untrusted text. Decoding is required for correctness rather than convenience: lol_html returns raw source, so without it a value like &#13;=1+1 would be stored with a literal ampersand and the CSV-formula escape at export (A-008) would not recognise the leading carriage return it is meant to neutralise. Decoding is not sanitising - the artifact is immutable and every observation carries a byte-range locator, so the encoded original is always recoverable.",Any conformant entity decoder; the named-entity table is the reason this is a dependency rather than hand-written,-,2026-08-12
selectors,0.37.0,extract,Transitive: CSS selector matching for lol_html's element handlers,MPL-2.0,yes,Maintained by the Servo project,~500KB compiled,"File-level copyleft, used unmodified, which deny.toml permits. Matches selectors that are compile-time constants in our code, never user or content supplied.",Tied to lol_html; not separable,-,2026-08-12
encoding_rs,0.8.35,extract,Transitive: character encoding handling for lol_html,(Apache-2.0 OR MIT) AND BSD-3-Clause,yes,Maintained by the author of the WHATWG Encoding spec implementation in Firefox,~600KB compiled,"Handles decoding of untrusted bytes. The extractor pins UTF-8 and disables charset adjustment on meta tags, so a document cannot change how its own offsets are interpreted midway through - which would make every locator unverifiable.",Tied to lol_html; not separable,-,2026-08-12
yaml_serde,0.10.6,data-model,"Reads the seven confidence scales of ADR-0007 from docs/data-model/scales/*.yaml, embedded at compile time",MIT OR Apache-2.0,yes,Maintained by The YAML Organization (github.com/yaml) — the clearest institutional home among the serde_yaml forks after that crate was deprecated,~90KB crate plus libyaml-rs,"Parses ONLY bytes embedded at compile time from this repository. No user, case, or network input ever reaches it, so the unsafe surface in libyaml-rs is not reachable by an adversary. If that ever changes — user-supplied scale files, plugin manifests — this choice must be revisited, because the reasoning depends entirely on the input being trusted.",serde-saphyr is a drop-in-shaped pure-Rust alternative; the blast radius is crates/kokin-graph/src/scales.rs and nothing else,ADR-0007,2026-08-12
libyaml-rs,0.3.0,data-model,The YAML parser under yaml_serde; a machine translation of libyaml into Rust,MIT OR Apache-2.0,yes,Follows yaml_serde; same organisation,~250KB source,"~240 unsafe blocks, inherited from the C original by transpilation rather than written by hand. Acceptable here only because its input is compile-time constant (see yaml_serde). It would NOT be acceptable for parsing evidence.","Replaced by dropping yaml_serde for serde-saphyr, whose parser (granit-parser) contains one unsafe block",ADR-0007,2026-08-12
vitest,3.x,ui,"Component test runner. Increments 22 and 23 both closed naming the same gap - every UI claim rested on screenshots, which verifies a build and guards nothing - and the rules this product needs held (the recovery-key gate, shredded not rendered as a fault, seven dimensions always, no composite score) cannot be asserted any other way",MIT,yes,Actively maintained,"dev-only, not shipped","Build-time only and never bundled. Shares Vite's config and plugin chain, which the project already runs, so it adds a test runner rather than a second toolchain. Supply-chain risk managed by npm ci against a committed lockfile.","Any runner that can mount a Svelte component into a DOM; the tests use Svelte's own mount/unmount API and no testing-library abstraction, so a swap touches the harness and not the assertions",-,2026-08-14
jsdom,26.x,ui,DOM implementation the component tests mount into,MIT,yes,Actively maintained,"dev-only, not shipped","Build-time only. Deliberately NOT a substitute for the real webview: it is a second HTML implementation, so a rendering claim verified here is verified against jsdom's parser and not against WebView2 or WKWebView. The markup-rendering prohibition (A-031) is therefore still enforced by the source scan, not by these tests.","happy-dom is a drop-in and faster; jsdom chosen for fidelity, since these tests assert what a person would see",-,2026-08-14
